workload,level,W,rep,T_async,T_sync_pred,T_sync_meas,ratio_pred,ratio_meas,note
cpm50,96.0,96,0,18.503095356546385,14.24231658791553,2.5964176507526133,1.2991633237703817,1.3292609994933646,async in-run durations + overhead; measured = utilisation ratio
cpm50,96.0,96,1,18.19833590363702,13.632472759081598,4.027333544172471,1.3349255285702857,1.461876579508813,async in-run durations + overhead; measured = utilisation ratio
cpm50,96.0,96,2,18.830455723454108,15.167631113346662,11.533853210625889,1.2414895630527545,1.194368790295522,async in-run durations + overhead; measured = utilisation ratio
cpm50,96.0,96,3,18.67396554054096,10.814979424317428,9.995195182717929,1.7266760118426705,1.1749034487080736,async in-run durations + overhead; measured = utilisation ratio
cpm50,96.0,96,4,18.706955465283347,14.795435151975472,11.195743994862005,1.264373455267087,1.1902240727352609,async in-run durations + overhead; measured = utilisation ratio
cpm50,192.0,192,0,37.60019654347099,26.10160084259674,24.08805472671826,1.4405322022283409,1.165445702310684,async in-run durations + overhead; measured = utilisation ratio
cpm50,192.0,192,1,37.66385507880474,25.82841243755457,14.872400947635745,1.4582334539478472,1.2312399690998592,async in-run durations + overhead; measured = utilisation ratio
cpm50,192.0,192,2,37.76075947192328,29.948954497093972,15.34613642560714,1.2608373182305013,1.21387403059318,async in-run durations + overhead; measured = utilisation ratio
cpm50,192.0,192,3,38.1247441102698,28.977756848004987,25.847845057956583,1.315655463265941,1.1930466934015782,async in-run durations + overhead; measured = utilisation ratio
cpm50,192.0,192,4,37.91888045475091,30.536882714105417,20.24065358672422,1.2417403835800058,1.2261593296079063,async in-run durations + overhead; measured = utilisation ratio
cpm50,384.0,384,0,71.84056421719525,30.75525069951537,6.853318241968759,2.335879649270012,1.5295510284512503,async in-run durations + overhead; measured = utilisation ratio
cpm50,384.0,384,1,73.35919062440927,50.21027263284178,36.03542567565461,1.461039480124753,1.1689757139907877,async in-run durations + overhead; measured = utilisation ratio
cpm50,384.0,384,2,72.02199606268158,26.801442325489216,16.521397281889435,2.687243290417466,1.3003804730654358,async in-run durations + overhead; measured = utilisation ratio
cpm50,384.0,384,3,73.15071680758942,46.812799215291584,28.88107043805252,1.5626221468015622,1.1711543680360157,async in-run durations + overhead; measured = utilisation ratio
cpm50,384.0,384,4,71.3290245966134,15.36447571173722,25.54148242658233,4.642463949623988,1.2084761506794854,async in-run durations + overhead; measured = utilisation ratio
cpm80,48.0,48,-1,,,,1.9,2.01,"from study log, job 14262841 (in-run CV 0.23)"
