arm,barrier_every,sigma,replicate,n_simulations,elapsed_wall_s,throughput_sims_per_s,full_history_mean_abs_error,full_history_w1_to_analytic,ess,ess_fraction,n_particles_used,archive_mean_abs_error,archive_w1_to_analytic
twin_coarse,2.0,1.5,0,672,384.27441239357,1.7487503157294384,0.12163057860290154,2.278741961999505,318.7573742728997,0.47434133076324364,672.0,0.015628451168492888,0.037662600052297324
twin_coarse,2.0,1.5,1,672,495.91731548309326,1.355064602544433,0.34948678972071723,2.3380553929527657,329.79642549937665,0.49076849032645337,672.0,0.014014964919434783,0.02882027891241656
twin_coarse,2.0,1.5,2,672,1473.9632000923157,0.4559136889970605,0.011809052403781405,2.2751720558422326,329.7640373386568,0.4907202936587155,672.0,0.006042898631294265,0.01089730814919885
twin_coarse,2.0,1.5,3,672,243.89958119392395,2.7552322833457206,0.008248368575953305,2.1756156149026404,285.0191264897946,0.42413560489552765,672.0,0.0038024376910062857,0.016780077677997086
twin_coarse,2.0,1.5,4,672,286.2668807506561,2.3474598187462865,0.09240369429860713,2.318660071032184,311.35998160282975,0.4633333059565919,672.0,0.021615408621167717,0.022443108675648596
twin_coarse,2.0,2.0,0,480,1063.9998233318329,0.4511278944548292,0.14582751223398138,2.31503196477087,313.47895521051345,0.6530811566885697,480.0,0.05898421261450275,0.13835806049903396
twin_coarse,2.0,2.0,1,480,957.1032814979552,0.5015132737281556,0.2688793021339532,2.4173811497868396,328.22851212623436,0.6838094002629883,480.0,0.033635361941552255,0.12917626319707257
twin_coarse,2.0,2.0,2,480,1648.7930648326874,0.2911220396531134,0.09775731760497403,2.348733662356654,322.8544069980112,0.6726133479125234,480.0,0.03862786136754559,0.07407327753386618
twin_coarse,2.0,2.0,3,480,1109.8973624706268,0.43247242153231363,0.02300733678571243,2.168851206292903,273.5689864835338,0.5699353885073621,480.0,0.021379968869390684,0.06471841855207142
twin_coarse,2.0,2.0,4,480,624.4701302051544,0.7686516564728367,0.0014066629727276792,2.337261025847132,308.44411245053465,0.6425919009386138,480.0,0.009541426880040907,0.10597009741295117
twin_fine,1.0,0.0,0,21120,471.0318670272827,44.83773068962382,0.02548342480259093,0.17252812028155579,1536.2073371162026,0.07273708982557778,21120.0,0.013453084317570592,0.028966670994831058
twin_fine,1.0,0.0,1,21120,470.5686395168304,44.88186892710393,0.0121453715559591,0.18568686507223603,1284.5500036488365,0.060821496384888096,21120.0,0.008942109796164069,0.022825933448097916
twin_fine,1.0,0.0,2,21120,470.9915418624878,44.841569588454014,0.008869943051702328,0.1572453349747655,3745.3328134060293,0.17733583396808852,21120.0,0.005800932226736298,0.01161165582955367
twin_fine,1.0,0.0,3,21120,470.8818044662476,44.85201976309081,0.01683039636551792,0.18828121830879274,4084.6735077892913,0.19340310169456873,21120.0,0.013728165158972891,0.01568041121811945
twin_fine,1.0,0.0,4,21120,471.086398601532,44.83254040595711,0.008936828294264343,0.21739074947924286,1747.7934419746261,0.08275537130561676,21120.0,0.002045218080370448,0.025931911257366772
twin_fine,1.0,0.5,0,6912,457.2412919998169,15.116744967999889,0.019488004715953796,0.8157213269132936,530.936055189617,0.07681366539201635,6912.0,0.009910150650898793,0.014337064626562276
twin_fine,1.0,0.5,1,6912,445.6814045906067,15.5088364217242,0.019151433825508133,1.452345132069115,483.453352499633,0.06994406141487747,6912.0,0.010660819271221297,0.024541523733883824
twin_fine,1.0,0.5,2,6912,461.3878490924835,14.980888667951277,0.14951200948236665,1.434631903824731,525.636075043122,0.07604688585693316,6912.0,0.005146807819700026,0.014777650937666783
twin_fine,1.0,0.5,3,6912,445.2373180389404,15.524305173798297,0.041898931197727626,0.8824221080077377,480.8060883534363,0.06956106602335595,6912.0,0.013823364237449356,0.0309198050889591
twin_fine,1.0,0.5,4,6912,458.0643301010132,15.089583592932794,0.04740295548020596,1.5488018419392455,486.52037200638756,0.07038778530185005,6912.0,0.00878638524696533,0.024390115204556966
twin_fine,1.0,1.0,0,2112,420.5173671245575,5.022384722042703,0.22098890153887968,2.130905797806369,342.74978658105925,0.162286830767547,2112.0,0.022790095313834278,0.028953692424414163
twin_fine,1.0,1.0,1,2112,501.6779434680939,4.209872145065354,0.22786683179097245,2.237858205055003,365.7640679950666,0.17318374431584593,2112.0,0.01033999367748302,0.026174340492363456
twin_fine,1.0,1.0,2,2112,483.573587179184,4.367484196810395,0.26439292631954137,2.282596499417691,353.50566847791004,0.1673795778777983,2112.0,0.012134888895314104,0.016665790919811466
twin_fine,1.0,1.0,3,2112,451.4794518947601,4.677953760988236,0.08146063308600221,2.038644330519525,310.1584105616767,0.14685530803109692,2112.0,0.004147223636950546,0.019104464266884596
twin_fine,1.0,1.0,4,2112,515.4563672542572,4.09734001589745,0.07601226485100394,2.2035080493865165,339.2496723814699,0.16062957972607478,2112.0,0.004190257091670195,0.019394430804398087
twin_fine,1.0,1.5,0,672,445.3104836940765,1.5090594643661182,0.24334958143375973,2.2149765100124785,324.5834622613091,0.4830111045555195,672.0,0.012076461384635168,0.015293543864064656
twin_fine,1.0,1.5,1,672,635.8437995910645,1.0568633372412988,0.259679710994545,2.277246055737362,327.6616393712712,0.4875917252548678,672.0,0.004011335609268807,0.010399915451743166
twin_fine,1.0,1.5,2,672,793.8195402622223,0.8465400080451766,0.14068461645612046,2.2078031291602036,332.3229426240541,0.494528188428652,672.0,0.006736682338850927,0.014942249003852515
twin_fine,1.0,1.5,3,672,553.8177571296692,1.213395546366817,0.01852207282612081,2.150798902545297,312.2261076070269,0.46462218393902815,672.0,0.011960759092617936,0.014419032417901764
twin_fine,1.0,1.5,4,672,772.1070635318756,0.8703456188135976,0.04980230210590337,2.235029601548,326.7369704727062,0.48621572987009853,672.0,0.014437913568186148,0.015495568798744516
twin_fine,1.0,2.0,0,480,1315.3571708202362,0.36491989449578893,0.23033743394147294,2.2139845098088315,312.7080553983597,0.6514751154132494,480.0,0.0015494413880775132,0.09666155027546822
twin_fine,1.0,2.0,1,480,1534.750792503357,0.3127543587822908,0.18831015655414063,2.350164681499141,327.58329644288517,0.6824652009226775,480.0,0.0002524474815370978,0.11202653856773975
twin_fine,1.0,2.0,2,480,1298.1132740974426,0.3697674229036263,0.1845446032444359,2.3417723849796164,329.04466807573306,0.6855097251577772,480.0,0.021375516074776182,0.10565124550348842
twin_fine,1.0,2.0,3,480,965.960064649582,0.49691495287036314,0.10278533021749463,2.1547926885652346,285.39248376012665,0.5945676745002638,480.0,0.005737329571041193,0.044959015946344875
twin_fine,1.0,2.0,4,480,504.768012046814,0.9509318905800296,0.175899933728977,2.2791624347902513,308.1587267386336,0.6419973473721534,480.0,0.0034183714636392692,0.09179630990235774
pyabc_baseline,,0.0,0,1385,59.42906665802002,23.305094255810474,0.11384777652121904,0.5441118593876794,100.0,1.0,100.0,0.11384777652121904,0.5441118593876794
pyabc_baseline,,0.0,1,1364,59.32828903198242,22.99071863111881,0.010853733435412613,0.2104205133865566,100.0,1.0,100.0,0.010853733435412613,0.2104205133865566
pyabc_baseline,,0.0,2,1406,59.42219042778015,23.66119441034083,0.09325932505317737,0.5338248491366933,100.0,1.0,100.0,0.09325932505317737,0.5338248491366933
pyabc_baseline,,0.0,3,1375,59.471134662628174,23.12046016609893,0.04368444652698729,0.5294066821464789,100.0,1.0,100.0,0.04368444652698729,0.5294066821464789
pyabc_baseline,,0.0,4,1343,59.43988585472107,22.59425604016921,0.05328587507922637,0.39143893014684594,100.0,1.0,100.0,0.05328587507922637,0.39143893014684594
pyabc_baseline,,0.5,0,1018,59.75614047050476,17.03590613424035,0.24346339643157977,0.8677886294724666,100.0,1.0,100.0,0.24346339643157977,0.8677886294724666
pyabc_baseline,,0.5,1,1188,59.94497084617615,19.81817629119394,0.10149338040525963,0.6216979380048556,100.0,1.0,100.0,0.10149338040525963,0.6216979380048556
pyabc_baseline,,0.5,2,1177,59.79737091064453,19.683139610916943,0.013049356062688103,0.406000058972207,100.0,1.0,100.0,0.013049356062688103,0.406000058972207
pyabc_baseline,,0.5,3,1112,59.90855550765991,18.561622635982594,0.023390560465636253,0.4488772953718164,100.0,1.0,100.0,0.023390560465636253,0.4488772953718164
pyabc_baseline,,0.5,4,1132,59.96203017234802,18.87861362842966,0.18463628132284376,0.6092873920203141,100.0,1.0,100.0,0.18463628132284376,0.6092873920203141
pyabc_baseline,,1.0,0,628,59.96093797683716,10.473485258729536,0.19727092770683846,1.0977585852667042,100.0,1.0,100.0,0.19727092770683846,1.0977585852667042
pyabc_baseline,,1.0,1,490,59.78956484794617,8.195410039296046,0.007915919008470107,1.1925837028542365,100.0,1.0,100.0,0.007915919008470107,1.1925837028542365
pyabc_baseline,,1.0,2,402,54.83681130409241,7.330842009954711,0.10597415197517095,1.5774313709121508,100.0,1.0,100.0,0.10597415197517095,1.5774313709121508
pyabc_baseline,,1.0,3,682,59.88581466674805,11.388339689376966,0.11046086752411668,1.426056441354194,100.0,1.0,100.0,0.11046086752411668,1.426056441354194
pyabc_baseline,,1.0,4,593,59.81365966796875,9.914123350615876,0.07682684321731646,1.3553693651602021,100.0,1.0,100.0,0.07682684321731646,1.3553693651602021
