method,division_rate,cell_volume
sync,0.3377118707658612,0.5270380115478892
sync,0.3782672123317685,0.4841135174352102
sync,0.3876298302963,0.6648426590544713
sync,0.3591296051069572,0.4730540226023942
sync,0.4246552958730848,0.6633250035856416
sync,0.3867914680270055,0.6069436853407
sync,0.3512100732561912,0.4686535896956096
sync,0.400270391234819,0.467889871444318
sync,0.3911052652264271,0.4497227604495317
sync,0.3784908179659333,0.6735113298010283
sync,0.396330915385697,0.5560407099335866
sync,0.3581873506739177,0.5542461385121421
sync,0.4206956797126923,0.6162162487168391
sync,0.4197165783029343,0.513257187300522
sync,0.3377118707658612,0.5270380115478892
sync,0.3708600633024093,0.4850356795747357
sync,0.4025193797930885,0.5093886184185871
sync,0.4070222976543693,0.5206564029306324
sync,0.3377118707658612,0.5270380115478892
sync,0.4085109505721191,0.5401229978694179
sync,0.3708352867383381,0.4337807660231511
sync,0.3512100732561912,0.4686535896956096
sync,0.3591296051069572,0.4730540226023942
sync,0.4101753622679017,0.6629003929891961
sync,0.3926274011175978,0.6303104914891346
sync,0.4032557605636625,0.6358780274299094
sync,0.3784908179659333,0.6735113298010283
sync,0.3896442256173945,0.4395760280135836
sync,0.3377118707658612,0.5270380115478892
sync,0.3926274011175978,0.6303104914891346
sync,0.3906019808038283,0.680286393329403
sync,0.395466162218455,0.5514781579164835
sync,0.3377118707658612,0.5270380115478892
sync,0.3377118707658612,0.5270380115478892
sync,0.3985426257019659,0.5991513280165908
sync,0.3576469780221168,0.470836768926425
sync,0.3840077696744456,0.4657614916329002
sync,0.4068939999219568,0.4221161161998316
sync,0.3708352867383381,0.4337807660231511
sync,0.3708352867383381,0.4337807660231511
sync,0.3985426257019659,0.5991513280165908
sync,0.400270391234819,0.467889871444318
sync,0.3512100732561912,0.4686535896956096
sync,0.3888375580634101,0.5676236234791986
sync,0.4068939999219568,0.4221161161998316
sync,0.3772882368946202,0.4928313844976537
sync,0.3758806271304768,0.4834805533244913
sync,0.3954955076896949,0.6427859834339273
sync,0.378534777424168,0.5558372271013752
sync,0.4070222976543693,0.5206564029306324
sync,0.4116037524037589,0.5577848606417056
sync,0.3712106613081961,0.5195622071470815
sync,0.4056296442783512,0.5107207857166172
sync,0.4091356588546891,0.595613802319107
sync,0.3748005801744188,0.5468572526459139
sync,0.4206956797126923,0.6162162487168391
sync,0.3880340873456998,0.5236758943182462
sync,0.3876298302963,0.6648426590544713
sync,0.3512100732561912,0.4686535896956096
sync,0.4250931594250764,0.6896025405161409
sync,0.3512100732561912,0.4686535896956096
sync,0.3720376795290718,0.4971361016505526
sync,0.3377118707658612,0.5270380115478892
sync,0.3377118707658612,0.5270380115478892
sync,0.4206956797126923,0.6162162487168391
sync,0.4036487281288147,0.5818876309443795
sync,0.4001789489246319,0.7444054706615026
sync,0.4101753622679017,0.6629003929891961
sync,0.3755373370877204,0.5998079339566784
sync,0.3576469780221168,0.470836768926425
sync,0.4197165783029343,0.513257187300522
sync,0.4116331256195717,0.5053862168853189
sync,0.3377118707658612,0.5270380115478892
sync,0.3720376795290718,0.4971361016505526
sync,0.3708352867383381,0.4337807660231511
sync,0.3937981901798802,0.6054915346810898
sync,0.3512100732561912,0.4686535896956096
sync,0.4001789489246319,0.7444054706615026
sync,0.3822465483333571,0.4839009935885889
sync,0.3474075603267803,0.6000162339323983
sync,0.4053252407910878,0.5844410911510357
sync,0.3908385599973527,0.5605481620551123
sync,0.3474075603267803,0.6000162339323983
sync,0.3840077696744456,0.4657614916329002
sync,0.4144839583353643,0.6042272753376569
sync,0.4023119366014222,0.5370951135195536
sync,0.4197165783029343,0.513257187300522
sync,0.3377118707658612,0.5270380115478892
sync,0.3576469780221168,0.470836768926425
sync,0.3840077696744456,0.4657614916329002
sync,0.4119030308004388,0.5806766835350102
sync,0.3778159818022433,0.5526587387268277
sync,0.3747187073420161,0.4126149432074864
sync,0.3905812714450421,0.5340774004202941
sync,0.4001789489246319,0.7444054706615026
sync,0.3377118707658612,0.5270380115478892
sync,0.3512100732561912,0.4686535896956096
sync,0.3591296051069572,0.4730540226023942
sync,0.3896679777031948,0.6072895396515625
sync,0.4206956797126923,0.6162162487168391
sync,0.4246552958730848,0.6633250035856416
sync,0.3799910891098996,0.61862313720435
sync,0.3377118707658612,0.5270380115478892
sync,0.4084512217754566,0.6384270311025311
sync,0.3576469780221168,0.470836768926425
sync,0.3968595082448702,0.6001142650054974
sync,0.3646478916711611,0.5474919004961513
sync,0.3873647784411089,0.4163265921258174
sync,0.3377118707658612,0.5270380115478892
sync,0.4116331256195717,0.5053862168853189
sync,0.3876298302963,0.6648426590544713
sync,0.4071437310342537,0.5195113803658427
sync,0.3940051593051107,0.6050631195404553
sync,0.3748005801744188,0.5468572526459139
sync,0.3934618311895858,0.6092699554437417
sync,0.4085109505721191,0.5401229978694179
sync,0.3694813812105713,0.5508707286174146
sync,0.4282242291878194,0.6749520402637252
sync,0.400270391234819,0.467889871444318
sync,0.3906019808038283,0.680286393329403
sync,0.3377118707658612,0.5270380115478892
sync,0.4049998888746245,0.5726308444478025
sync,0.3896442256173945,0.4395760280135836
sync,0.3853377988353555,0.6511078829193852
sync,0.4116331256195717,0.5053862168853189
sync,0.3474075603267803,0.6000162339323983
sync,0.3474075603267803,0.6000162339323983
sync,0.4045467965950359,0.637511938969025
sync,0.4116331256195717,0.5053862168853189
sync,0.4045467965950359,0.637511938969025
sync,0.3867914680270055,0.6069436853407
sync,0.395466162218455,0.5514781579164835
sync,0.4001789489246319,0.7444054706615026
sync,0.3512100732561912,0.4686535896956096
sync,0.3512100732561912,0.4686535896956096
sync,0.4023119366014222,0.5370951135195536
sync,0.4048101854949642,0.5150523746620679
sync,0.3512100732561912,0.4686535896956096
sync,0.4045467965950359,0.637511938969025
sync,0.3911052652264271,0.4497227604495317
sync,0.3896679777031948,0.6072895396515625
sync,0.3377118707658612,0.5270380115478892
sync,0.4068939999219568,0.4221161161998316
sync,0.4206956797126923,0.6162162487168391
sync,0.3591296051069572,0.4730540226023942
sync,0.3908385599973527,0.5605481620551123
sync,0.3602914645559571,0.6362575937075802
sync,0.3748005801744188,0.5468572526459139
sync,0.3512100732561912,0.4686535896956096
sync,0.3377118707658612,0.5270380115478892
sync,0.3860449940345094,0.6298190023008567
sync,0.3377118707658612,0.5270380115478892
sync,0.3591296051069572,0.4730540226023942
sync,0.3712106613081961,0.5195622071470815
sync,0.3853377988353555,0.6511078829193852
sync,0.3782672123317685,0.4841135174352102
sync,0.3911052652264271,0.4497227604495317
sync,0.3694813812105713,0.5508707286174146
sync,0.3772882368946202,0.4928313844976537
sync,0.3916380118408135,0.5548193228337597
sync,0.4071437310342537,0.5195113803658427
sync,0.3474075603267803,0.6000162339323983
sync,0.4071437310342537,0.5195113803658427
sync,0.3512100732561912,0.4686535896956096
sync,0.3474075603267803,0.6000162339323983
sync,0.4197165783029343,0.513257187300522
sync,0.3937988172110442,0.6266457841597612
sync,0.3377118707658612,0.5270380115478892
sync,0.4250931594250764,0.6896025405161409
sync,0.4048101854949642,0.5150523746620679
sync,0.4282242291878194,0.6749520402637252
sync,0.4001789489246319,0.7444054706615026
sync,0.3377118707658612,0.5270380115478892
sync,0.3985426257019659,0.5991513280165908
sync,0.4116037524037589,0.5577848606417056
sync,0.3982383763257474,0.5709271613629153
sync,0.3799910891098996,0.61862313720435
sync,0.3937823696182269,0.5927401574403519
