benchmark,method,replicate,wall_time,n_records,w1,ess,ess_fraction
gandk,async_propulate_abc,1,525.0,1449846,0.035289042027227,2570.756444479842,0.0017731237969272
gandk,async_propulate_abc,1,600.0,1712708,0.0362883471014381,2986.733005384375,0.0017438658576852
gandk,async_propulate_abc,2,75.0,119410,0.0381628549074805,615.117402856425,0.0051513056097179
gandk,async_propulate_abc,2,150.0,258588,0.0388467777083053,1541.3282272369568,0.0059605558929144
gandk,async_propulate_abc,2,225.0,467055,0.0736195738122561,628.299390788928,0.0013452364085363
gandk,async_propulate_abc,2,300.0,694375,0.0813064071024852,288.6495438447332,0.0004156969128276
gandk,async_propulate_abc,2,375.0,957895,0.0768024415094571,436.1142465783239,0.0004552839784927
gandk,async_propulate_abc,2,450.0,1223226,0.0725187940585701,457.3167686471346,0.0003738612232303
gandk,async_propulate_abc,2,525.0,1475356,0.0744084899364188,423.2243738341618,0.0002868625428941
gandk,async_propulate_abc,2,600.0,1745586,0.0685452380061874,492.0099233309517,0.0002818594577012
gandk,async_propulate_abc,3,75.0,126149,0.091917422131114,1251.14280274121,0.0099179763830169
gandk,async_propulate_abc,3,150.0,301823,0.3387194390372721,32.212594675935335,0.0001067267725651
gandk,async_propulate_abc,3,225.0,503737,0.0370062151204084,481.6272491438961,0.0009561085430371
gandk,async_propulate_abc,3,300.0,752066,0.0362471094220032,571.0690845411702,0.0007593337347269
gandk,async_propulate_abc,3,375.0,1011026,0.0352624765870466,730.2360855018269,0.0007222723110007
gandk,async_propulate_abc,3,450.0,1277669,0.0387406957637749,537.8675968718112,0.0004209756962654
gandk,async_propulate_abc,3,525.0,1545376,0.0368535671199513,573.2467413754248,0.0003709432147098
gandk,async_propulate_abc,3,600.0,1813349,0.036475703648874,632.9299412316461,0.0003490392314064
gandk,async_propulate_abc,4,75.0,119245,0.1146464587570685,1371.310235286241,0.011499939077414
gandk,async_propulate_abc,4,150.0,246090,0.0307901728551558,737.248621329616,0.0029958495726344
gandk,async_propulate_abc,4,225.0,448003,0.0418952280273307,653.8274022481866,0.0014594263927879
gandk,async_propulate_abc,4,300.0,684470,0.0539147259760865,597.1915109742658,0.0008724874880919
gandk,async_propulate_abc,4,375.0,947245,0.0465012324342534,958.1801161498324,0.0010115441265457
gandk,async_propulate_abc,4,450.0,1208941,0.0615663985305929,179.07335975879667,0.000148124151434
gandk,async_propulate_abc,4,525.0,1448477,0.0615927021637782,193.00791715389528,0.0001332488656388
gandk,async_propulate_abc,4,600.0,1725897,0.0731033549592833,43.64518493549319,2.5288406512957145e-05
gaussian_mean,rejection_abc,0,37.5,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,75.0,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,112.5,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,150.0,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,187.5,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,225.0,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,262.5,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,0,300.0,100,0.02036599765971354,100.0,1.0
gaussian_mean,rejection_abc,1,37.5,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,75.0,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,112.5,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,150.0,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,187.5,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,225.0,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,262.5,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,1,300.0,100,0.011423415009750916,100.0,1.0
gaussian_mean,rejection_abc,2,37.5,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,75.0,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,112.5,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,150.0,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,187.5,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,225.0,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,262.5,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,2,300.0,100,0.0102512511693183,100.0,1.0
gaussian_mean,rejection_abc,3,37.5,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,75.0,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,112.5,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,150.0,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,187.5,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,225.0,100,0.006186527468647657,100.0,1.0
gaussian_mean,rejection_abc,3,262.5,100,0.006186527468647657,100.0,1.0
