benchmark,method,wall_time,w1_median,w1_q1,w1_q3,ess_median,ess_fraction_median,n_records_median,n_replicates
gaussian_mean,async_propulate_abc,225.0,0.010901522061038806,0.0072229875349358085,0.014639581256267574,296.1691459076821,0.0003223908649835835,936440.0,5
gaussian_mean,async_propulate_abc,262.5,0.01606133812196641,0.007720126967872913,0.018422028126014095,252.5658130582975,0.0002210136900999331,1117340.0,5
gaussian_mean,async_propulate_abc,300.0,0.016088363267031055,0.007941972719543123,0.018928909573946693,286.92503098511986,0.00022036575632098098,1307897.0,5
gaussian_mean,rejection_abc,37.5,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,75.0,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,112.5,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,150.0,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,187.5,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,225.0,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,262.5,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
gaussian_mean,rejection_abc,300.0,2.349624866162233,2.3229978894455057,2.3670874166634572,100.0,1.0,100.0,5
