benchmark,method,replicate,n,eps,n_sims,wall_s,mean_sim_s
gaussian_mean,sync,2,20599,0.0010969381647453,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,24457,0.0007500100441225,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,29037,0.0005991624863977,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,34475,0.0005037006375534,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,40931,0.0004107723990432,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,48596,0.0003880194380508,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,57697,0.0003272944220166,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,68502,0.0003026268687074,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,81330,0.0002711918238991,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,96561,0.0002286225454202,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,114644,0.0001835130376703,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,136113,0.0001430842234181,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,161603,0.0001063627466559,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,191866,8.906986506643233e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,227797,7.927392166714314e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,270456,6.1800693973324e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,321105,5.544151771737921e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,381238,4.772845625054811e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,452632,4.0792587457733065e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,537396,3.368665134970833e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,638034,2.902871930698936e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,757518,2.379005721029476e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,899378,1.9728432370524907e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1067804,1.556668015972179e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1267771,1.4065839682539384e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1505186,1.1774258892004176e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1787062,1.031241504118735e-05,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,2121723,8.522990003950737e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,2519057,7.047663897238876e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,2990799,5.366255294556033e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,3550884,4.956156391913713e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,4215856,4.186771256672883e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,5005357,3.608174633601413e-06,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,3,200,2.3389887869304067,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,236,2.0264648468560136,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,280,1.7322707412335512,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,332,1.4487301234695855,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,393,1.1091772710979142,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,465,0.8944639848566629,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,551,0.7765229183344713,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,653,0.6348017394291869,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,773,0.4761922030423846,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,916,0.3307654645247569,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1085,0.2734205597930579,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1285,0.2007074244098228,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1522,0.144372816209862,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1802,0.0971240832382713,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,2135,0.0662471597266616,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,2528,0.0389737992369788,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,2994,0.0243480072923706,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,3546,0.013514759172648,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,4199,0.0078823542022678,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,4973,0.0061573738039122,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,5890,0.0045737478033736,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,6975,0.0037043092421678,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,8261,0.0028986610254831,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,9783,0.002322468902111,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,11586,0.001526891148515,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,13722,0.0011838124411256,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,16251,0.0010242558770544,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,19245,0.000907077943346,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,22792,0.000744399663824,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,26992,0.0006495095688172,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,31967,0.0005680152958729,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,37858,0.0004795179878837,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,44834,0.0004304714836163,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,53097,0.0003794764096653,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,62882,0.0003322058485544,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,74470,0.0002636216967944,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,88194,0.0002184053209248,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,104446,0.0001664469718601,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,123694,0.000133253570911,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,146489,0.0001142471964405,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,173485,0.0001084789697746,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,205455,9.400233206871556e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,243318,7.353953942503683e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,288157,6.755938914420473e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,341260,5.561358240415565e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,404149,4.900007691863856e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,478627,3.6515781300615335e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,566830,2.8218780144646797e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,671288,2.3026968099207346e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,794996,1.93708530273895e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,941501,1.5914462325974932e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1115004,1.4680422543822402e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1320482,1.284917688643833e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1563825,1.1457858051830416e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,1852013,1.0494075863988483e-05,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,2193310,9.439695327580213e-06,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,2597501,7.799686858878108e-06,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,3076179,6.252321637235936e-06,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,3643069,4.515839253024789e-06,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,3,4314429,4.217535491270186e-06,4314429,299.99998021125793,9.842579481469414e-05
gaussian_mean,sync,4,200,2.26448361415073,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,237,1.7637900646265818,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,281,1.4883338733905398,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,333,1.160978143499643,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,395,0.9153472974810316,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,468,0.720817732180729,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,555,0.6022296863497275,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,658,0.5246245914313511,4612357,299.9999587535858,9.816504915079195e-05
gaussian_mean,sync,4,780,0.4647762401214964,4612357,299.9999587535858,9.816504915079195e-05
