trial,method,benchmark,param,true_value,rank,n_samples
107,abc_smc_baseline,gaussian_mean,mu,-1.957752988955158,77,100
108,abc_smc_baseline,gaussian_mean,mu,3.251989269700097,83,100
109,abc_smc_baseline,gaussian_mean,mu,-2.2465489805385275,96,100
110,abc_smc_baseline,gaussian_mean,mu,0.4593420511335164,100,100
111,abc_smc_baseline,gaussian_mean,mu,-4.22452082247087,58,100
112,abc_smc_baseline,gaussian_mean,mu,-3.935621796492159,47,100
113,abc_smc_baseline,gaussian_mean,mu,-1.303804467812899,36,100
114,abc_smc_baseline,gaussian_mean,mu,4.094885278750724,7,100
115,abc_smc_baseline,gaussian_mean,mu,4.676246027074441,82,100
116,abc_smc_baseline,gaussian_mean,mu,4.974586532941679,100,100
117,abc_smc_baseline,gaussian_mean,mu,-1.3691215789304287,24,100
118,abc_smc_baseline,gaussian_mean,mu,-4.952308059634864,1,100
119,abc_smc_baseline,gaussian_mean,mu,2.931156074414454,20,100
120,async_propulate_abc,gaussian_mean,mu,-2.464657275250018,64,100
121,async_propulate_abc,gaussian_mean,mu,-2.179907261113072,82,100
122,async_propulate_abc,gaussian_mean,mu,1.3301311788357797,93,100
123,async_propulate_abc,gaussian_mean,mu,4.595665411398088,72,100
124,async_propulate_abc,gaussian_mean,mu,4.241590990718523,3,100
125,async_propulate_abc,gaussian_mean,mu,-1.165802018513661,67,100
126,async_propulate_abc,gaussian_mean,mu,-3.078470093446904,97,100
127,async_propulate_abc,gaussian_mean,mu,1.6566887782861128,6,100
128,async_propulate_abc,gaussian_mean,mu,3.347072026356308,39,100
129,async_propulate_abc,gaussian_mean,mu,-0.0351250315996862,77,100
130,async_propulate_abc,gaussian_mean,mu,-3.351538669914817,55,100
131,async_propulate_abc,gaussian_mean,mu,4.944092336110696,93,100
132,async_propulate_abc,gaussian_mean,mu,1.6203721613773148,50,100
133,async_propulate_abc,gaussian_mean,mu,0.8846975476149659,5,100
134,async_propulate_abc,gaussian_mean,mu,-1.8925392865392172,69,100
