arm,level,replicate,n,calls_per_rank_min,calls_per_rank_median,calls_per_rank_max,eps_sched,n_distinct_eps,eps_k,w1_sched,ess_sched,w1_rereport,ess_rereport,archive_w1
twin_coarse,0.0,2,75104,4694,4694.0,4694,0.0004225272766502,20,0.0002371761599549,0.008547500020593471,247.7998504441425,0.010700693836392673,147.79415217157364,0.024769520786970513
twin_coarse,0.0,3,75104,4694,4694.0,4694,0.0005816149135904,21,0.0002770651283095,0.013598182096292991,309.1574820392201,0.01749054315025389,161.61066626901936,0.0188716285842647
twin_coarse,0.0,4,75104,4694,4694.0,4694,0.0005081395459577,22,0.0003163269230822,0.009019437010461732,286.1199375760731,0.012392385796995697,178.11372404927462,0.024143511477264838
twin_coarse,1.0,0,44512,2782,2782.0,2782,0.0007813574319744,30,0.0003931958127615,0.01035810216088233,286.0047409852278,0.009278794127393578,146.50368664457153,0.02183547475839264
twin_coarse,1.0,1,44512,2782,2782.0,2782,0.001040754868872,21,0.0005334202113465,0.007802936246660491,330.22007878293897,0.012037804788743776,167.46410366439997,0.013046264676204436
twin_coarse,1.0,2,44512,2782,2782.0,2782,0.0009243638269712,23,0.0005204242653677,0.011822686538671587,284.3327013354099,0.013014366411691288,156.26186478284663,0.01965397511741207
twin_coarse,1.0,3,44512,2782,2782.0,2782,0.0007620645116485,21,0.0004503643455965,0.008506212180936378,257.2614300396673,0.010629896194254052,156.16264082360516,0.02621213263823674
twin_coarse,1.0,4,44512,2782,2782.0,2782,0.000613338154285,21,0.0003923056357667,0.005170575109329175,222.7109426220932,0.007263172847204276,152.68262079480627,0.0205695157827831
twin_coarse,5.0,0,12304,769,769.0,769,0.0033983589745771,16,0.0018180301460238,0.009074170656534212,307.20700544438216,0.011081032663747045,155.6621422988811,0.023543027864318
twin_coarse,5.0,1,12304,769,769.0,769,0.0024591810067181,15,0.0019118459736608,0.026151781086294526,201.79612719073685,0.029436955068432438,155.2465742522081,0.029595639213194042
twin_coarse,5.0,2,12304,769,769.0,769,0.0031211427409057,17,0.0014277927352601,0.006934897891800091,290.0229723538289,0.006042492139850641,146.63610589348937,0.013731544566021926
twin_coarse,5.0,3,12304,769,769.0,769,0.0036801623875967,15,0.0019756541414075,0.010580567000890797,350.5483800198122,0.01666738201795059,179.48700014699804,0.033289128825313416
twin_coarse,5.0,4,12304,769,769.0,769,0.0037324621161775,16,0.0019121134518274,0.008698518013977377,299.7813959488266,0.008709737803998738,155.49334742555405,0.013329680761793387
twin_coarse,10.0,0,6304,394,394.0,394,0.0242565209951522,10,0.0031151842494382,0.004323622002791915,1013.2582394749824,0.007353317911160577,163.76549962000794,0.01851711939518428
twin_coarse,10.0,1,6304,394,394.0,394,0.0757830099870747,10,0.003490553134795,0.017208096189803585,2856.532092157595,0.0175435528565901,139.4583537784667,0.026700598684179365
twin_coarse,10.0,2,6304,394,394.0,394,0.1336454173657803,8,0.0043903715273743,0.05003902391867044,3527.4442053407925,0.013584767030657937,177.4604489996795,0.022401649917548682
twin_coarse,10.0,3,6304,394,394.0,394,0.0749252743701921,10,0.0035107807776007,0.017098258276711235,2973.678167975863,0.01772733908466771,170.36737555492232,0.021062118338836422
twin_coarse,10.0,4,6304,394,394.0,394,0.0495405740501775,8,0.0031919168525743,0.0055021403151105834,2106.9288790873343,0.01892341822650948,166.71845956538695,0.026164064965855924
twin_coarse,20.0,0,3200,200,200.0,200,1.9772412235701955,4,0.0066473270071278,1.3309331511992197,415.39256206290486,0.009992727007964608,125.55507628021977,0.01832062431508206
twin_coarse,20.0,1,3200,200,200.0,200,1.25,3,0.0063670372530911,0.8455806193138247,443.8144358012808,0.013367448256107079,150.83062723752894,0.025571975720643566
twin_coarse,20.0,2,3200,200,200.0,200,1.5372833050990595,4,0.0076291094683774,1.0823678172905011,432.8821231449482,0.02107386123605827,165.1404014471771,0.027916883348649477
twin_coarse,20.0,3,3200,200,200.0,200,2.585755140638228,4,0.0078726325369427,1.5979728849468775,363.83515634340745,0.011934038800688756,161.72909571971144,0.016483004245333215
twin_coarse,20.0,4,3200,200,200.0,200,1.5202875131276372,4,0.0080496172282631,1.0367004390304997,454.93293656434054,0.012447263077376607,166.87022443876748,0.024168731921543136
async_matched,0.0,0,75104,4694,4694.0,4694,0.0004106927190538,21,0.000271235377969,0.018764359056247282,230.2246786251756,0.018212187908056853,160.4581037208296,0.019977936685330898
async_matched,0.0,1,75104,4694,4694.0,4694,0.0005280331243298,20,0.0003107841253913,0.011236863798340935,274.90817617608445,0.008361367311599662,168.5085224846771,0.01608838968483
