slowdown_factor,base_method,method,replicate,seed,n_simulations,effective_straggler_worker_id,active_wall_time_s,elapsed_wall_time_s,throughput_sims_per_s,total_attempts,final_posterior_size,final_quality_wasserstein,final_quality_wasserstein_weighted,final_quality_wasserstein_analytic,utilization_loss_fraction,test_mode,arm,barrier_every
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,2,173879092,958661,0,299.0964243412018,414.6694052219391,3205.190440211961,958661,100,0.075571074159834,0.0852063944796964,0.008676617746849,0.9210906335157816,False,async,
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,3,1112038970,959444,0,298.1181197166443,412.9944553375244,3218.33507105148,959444,100,0.0796303085980126,0.0889053887904675,0.0074321616070005,0.921232272980595,False,async,
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,4,2087043557,960014,0,299.1855139732361,414.453191280365,3208.758295984474,960014,100,0.0748461489100602,0.082452777032378,0.0104584857082135,0.920442183307807,False,async,
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,0,1654615998,75104,0,1539.8801398277285,1550.159780740738,48.77262720486943,75104,100,0.0815201321234063,0.0837649248665675,0.0130434582424395,0.9994147105661992,False,twin_fine,1
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,1,1806341205,75104,0,1564.8315076828003,1577.0523972511292,47.9949436289239,75104,100,0.073785155436815,0.0869761328837979,0.0109519829396183,0.9994172834934264,False,twin_fine,1
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,2,173879092,75104,0,1563.2690706253052,1573.1981739997864,48.042913028374905,75104,100,0.083520368866114,0.0934227788367048,0.0083953130193317,0.99942162975817,False,twin_fine,1
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,3,1112038970,75104,0,1540.1003375053406,1550.803227186203,48.76565388048268,75104,100,0.0886753847218209,0.1089744363380011,0.0327896368089618,0.9994136799272711,False,twin_fine,1
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,4,2087043557,75104,0,1541.7256240844729,1551.0712151527405,48.7142451463108,75104,100,0.0787993306665579,0.0855253817421921,0.0087336799359375,0.9994163089676004,False,twin_fine,1
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,0,1654615998,44512,0,681.1940748691559,691.5761489868164,65.34407981829538,44512,100,0.0685477355646063,0.0914337391352982,0.0066657484493819,0.9737078110564052,False,twin_fine,1
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,1,1806341205,44512,0,679.0653476715088,686.738495349884,65.54891978015088,44512,100,0.0922299516496578,0.096707293474365,0.0215516194038806,0.9736271708987714,False,twin_fine,1
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,2,173879092,44512,0,682.7203743457794,691.0008249282837,65.19799565474206,44512,100,0.0852037019989317,0.0884468144772351,0.007638257020267,0.9737683455548066,False,twin_fine,1
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,3,1112038970,44512,0,678.9385507106781,685.7582845687866,65.56116154165515,44512,100,0.0765269206056983,0.0875209222332073,0.0109986621101509,0.973622182866802,False,twin_fine,1
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,4,2087043557,44512,0,681.4455783367157,689.2847747802734,65.31996305360975,44512,100,0.0786640899374415,0.0831018627983289,0.0084379582225757,0.9737218878963122,False,twin_fine,1
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,0,1654615998,12304,0,389.3283762931824,392.7562942504883,31.60314210114116,12304,100,0.0725651824752871,0.0998484150726525,0.0108818423520628,0.9379047644636972,False,twin_fine,1
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,1,1806341205,12304,0,389.4435434341431,393.3638472557068,31.593796347225027,12304,100,0.0760837311457006,0.1046391763087196,0.0151402208855301,0.9379247723231036,False,twin_fine,1
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,2,173879092,12304,0,389.2989296913147,391.338921546936,31.60553256531212,12304,100,0.068284607921203,0.1081215663634649,0.019625068853133,0.9379000910771887,False,twin_fine,1
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,3,1112038970,12304,0,389.4410631656647,394.4418165683746,31.593997561489783,12304,100,0.0703266115834441,0.1080439704272553,0.0192764823578984,0.9379226525446792,False,twin_fine,1
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,4,2087043557,12304,0,389.5942029953003,391.82052516937256,31.5815787437382,12304,100,0.0825537884834728,0.1027978173943067,0.013446454448139,0.9379471626186217,False,twin_fine,1
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,0,1654615998,6304,0,396.2342545986176,399.9638023376465,15.909780456477462,6304,100,0.0741820505637906,1.017199705728029,0.9305134354913168,0.9376495328989252,False,twin_fine,1
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,1,1806341205,6304,0,396.1030066013336,399.1797180175781,15.915052132751914,6304,100,0.0693606441202592,1.247619140645721,1.1663497001787482,0.9376292699967136,False,twin_fine,1
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,2,173879092,6304,0,396.621541261673,398.5368251800537,15.894245128357529,6304,100,0.0691917537929579,0.5248179090850642,0.445311173731328,0.937710703824654,False,twin_fine,1
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,3,1112038970,6304,0,395.9741566181183,398.72081661224365,15.920230890420571,6304,100,0.073599756503562,0.6825123399924016,0.6067954364994386,0.9376106248231112,False,twin_fine,1
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,4,2087043557,6304,0,398.9260401725769,400.7347049713135,15.802427931936622,6304,100,0.0832882043425164,0.8155322375423606,0.7371587694607058,0.9380710497059794,False,twin_fine,1
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,0,1654615998,3200,0,401.0375609397888,402.12218379974365,7.979302468579603,3200,100,0.0788207222167396,1.8082260938126216,1.7285732094874553,0.9375398363624724,False,twin_fine,1
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,1,1806341205,3200,0,401.3375976085663,403.10317730903625,7.973337208045564,3200,100,0.0760286835804428,1.8448929369891327,1.7662575041330033,0.9375871803346,False,twin_fine,1
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,2,173879092,3200,0,401.1487696170807,402.3910987377167,7.977090402282879,3200,100,0.069547692238147,1.7233824777742712,1.64569696834161,0.9375596882951522,False,twin_fine,1
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,3,1112038970,3200,0,401.00725626945496,403.9441170692444,7.979905475450487,3200,100,0.0749945156665302,1.960720302037492,1.882247052996299,0.9375372796524752,False,twin_fine,1
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,4,2087043557,3200,0,400.9529285430908,402.8658037185669,7.980986724869607,3200,100,0.0740611384884248,1.6239987390774084,1.542800895898636,0.9374925540078743,False,twin_fine,1
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,0,1654615998,75104,0,460.5272319316864,469.24826979637146,163.08264700216634,75104,100,0.0661371158256226,0.0921364569407464,0.0107339529814078,0.9982450755919804,False,twin_coarse,7
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,1,1806341205,75104,0,462.1777346134186,471.4430356025696,162.50025558418469,75104,100,0.0871578122197046,0.09891947389648,0.0136383894043067,0.9982697063257252,False,twin_coarse,7
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,2,173879092,75104,0,461.4254462718964,469.7033624649048,162.76518906099673,75104,100,0.068439383490938,0.0820629884289486,0.0124488181462036,0.9982252147243544,False,twin_coarse,7
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,3,1112038970,75104,0,460.57444047927856,469.57784247398376,163.06593114860215,75104,100,0.071011968808724,0.0834212435671406,0.0149655533578123,0.9982568291322248,False,twin_coarse,7
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,4,2087043557,75104,0,461.2590250968933,471.5681004524231,162.8239143596669,75104,100,0.0775082691006649,0.0841334296714137,0.0103854841990936,0.99821092541554,False,twin_coarse,7
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,0,1654615998,44512,0,300.03092551231384,307.10685300827026,148.35803983870704,44512,100,0.0725883675694093,0.0792167252997223,0.01334630288409,0.9405002062243226,False,twin_coarse,7
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,1,1806341205,44512,0,299.81557869911194,307.9041929244995,148.4646001156305,44512,100,0.0800175216744768,0.0982732481133695,0.010489316112787,0.9404485172403712,False,twin_coarse,7
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,2,173879092,44512,0,300.12595438957214,308.01956844329834,148.31106523437202,44512,100,0.0723415077833614,0.091929385844055,0.0146782510454269,0.9404580412156964,False,twin_coarse,7
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,3,1112038970,44512,0,300.79464745521545,308.11413407325745,147.9813566384265,44512,100,0.0656482436103823,0.0826443727395378,0.010081528850178,0.9406476820391791,False,twin_coarse,7
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,4,2087043557,44512,0,300.0307424068451,306.3039608001709,148.35813037999026,44512,100,0.0712565185373062,0.084987864717966,0.0107365266392333,0.9404444778602848,False,twin_coarse,7
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,0,1654615998,12304,0,387.33337330818176,390.6865615844727,31.765917547751105,12304,100,0.087078090022385,0.0855622560365271,0.0086347032674828,0.937604268671837,False,twin_coarse,7
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,1,1806341205,12304,0,387.4164361953736,390.867737531662,31.75910686916523,12304,100,0.0907827619158724,0.103990346242657,0.028020171257134,0.937616096814066,False,twin_coarse,7
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,2,173879092,12304,0,387.4990937709808,390.540816783905,31.75233232228381,12304,100,0.0761766621440149,0.0825827290056723,0.0086634500775967,0.937630374198146,False,twin_coarse,7
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,3,1112038970,12304,0,387.3742094039917,391.4510123729706,31.762568857980387,12304,100,0.0579438157429013,0.07445684084262,0.0154725368896354,0.937609911035416,False,twin_coarse,7
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,4,2087043557,12304,0,387.5644359588623,393.3447365760803,31.746978975403195,12304,100,0.0849461659560653,0.0952549436880187,0.0073134389834874,0.9375951596424806,False,twin_coarse,7
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,0,1654615998,6304,0,395.3538086414337,397.8761420249939,15.94521125688058,6304,100,0.0754392913109122,0.0923849808506314,0.0040782577606752,0.9375229872177858,False,twin_coarse,7
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,1,1806341205,6304,0,395.4673228263855,398.791526556015,15.940634373898764,6304,100,0.0672156453768364,0.1052499793918015,0.0158879689564599,0.937540799397062,False,twin_coarse,7
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,2,173879092,6304,0,395.45268034935,398.3471491336823,15.941224609809026,6304,100,0.094643215468777,0.1329652058437994,0.0464872432825929,0.9375375884283286,False,twin_coarse,7
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,3,1112038970,6304,0,395.41478276252747,398.7372958660126,15.94275245846326,6304,100,0.0739058426255303,0.1094782852149208,0.0201295732654037,0.9375317610861044,False,twin_coarse,7
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,4,2087043557,6304,0,395.480699300766,398.05964398384094,15.940095208554697,6304,100,0.0634570284882,0.0934997804169377,0.0059522171429842,0.9375439942555042,False,twin_coarse,7
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,0,1654615998,3200,0,400.83055210113525,403.78769874572754,7.983423377349226,3200,100,0.0711819758459076,1.428608237430875,1.3467217016521262,0.9375174399443976,False,twin_coarse,7
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,1,1806341205,3200,0,400.90605640411377,403.98592710495,7.981919826061186,3200,100,0.0655881121595363,0.895576608654097,0.8151878946877217,0.9375328480338486,False,twin_coarse,7
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,2,173879092,3200,0,400.76561880111694,404.0855829715729,7.984716876594209,3200,100,0.0674837774340638,1.1456613510950475,1.0665049103358704,0.9375077585268164,False,twin_coarse,7
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,3,1112038970,3200,0,400.9132978916168,404.07186245918274,7.98177565281232,3200,100,0.0785218958270605,1.738366674280404,1.656189402173328,0.9375336735745402,False,twin_coarse,7
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,4,2087043557,3200,0,400.8465878963471,402.9249002933502,7.983104001941691,3200,100,0.0725523372629318,1.123082329314944,1.043689049604865,0.9375218513439424,False,twin_coarse,7
