run,box,tol_init,method,replicate,n_sims,n_match,throughput,utilisation,runtime_cv,mean_runtime_s,eps_full,eps_matched,ess,contraction_division_rate,contraction_cell_volume,covered_division_rate,covered_cell_volume,bias_division_rate,bias_cell_volume,n_generations
50_fixed,50,0.1,async,2,12896,5427,3.582222222222222,0.9975965029790509,0.051434843491620495,13.366862605360541,6.435888993689814e-05,0.0001784219633923,352.88484723256744,0.9256746235152764,0.8206086888725279,True,True,-0.027338148075407798,0.05330248902166512,
50_fixed,50,0.1,async,3,12909,5427,3.5858333333333334,0.9979545964026219,0.05229686429966398,13.357159668068185,8.576469642625384e-05,0.000267824083866,302.9909254743586,0.9140948336808674,0.8009631203065661,True,True,-0.02557116441003704,0.04839446322723395,
50_fixed,50,0.1,async,4,12934,5427,3.5927777777777776,0.9979930431418298,0.05354471287562636,13.332685399483138,8.708180910421177e-05,0.000244524132744,236.85034093793485,0.9170944619888339,0.8005599596173532,True,True,-0.029426414810241386,0.05106309688801103,
50_fixed,50,0.1,sync,0,4749,5427,1.3191666666666666,0.37605015743701,0.10521761435242034,13.659966163721608,0.0004072939241842,0.0004072939241842,38.34337861093903,0.9104913217761017,0.7174926806769673,True,True,-0.027237563612551252,0.017222464113852975,13.0
50_fixed,50,0.1,sync,1,5802,5427,1.6116666666666666,0.4558598431369469,0.1041888755515027,13.576587563175778,0.0002421782279086,0.0003103550249595,65.61778995798105,0.9059083233530076,0.7667642035893906,True,True,-0.019110708561804413,0.041373959187441245,15.0
50_fixed,50,0.1,sync,2,5400,5427,1.5,0.42809059766177593,0.10780374694909878,13.66755915054569,0.0003530096034202,0.0003530096034202,82.41953075053584,0.9229282913569854,0.6703173548664084,True,True,-0.025999032981578185,0.05183332084291392,15.0
50_fixed,50,0.1,sync,3,5348,5427,1.4855555555555555,0.4226232547078747,0.11512778862081526,13.65367064640071,0.0003118465348574,0.0003118465348574,65.46786202449958,0.8986462656053931,0.7188110813615833,True,True,-0.027498224367575153,0.06024028717843999,14.0
50_fixed,50,0.1,sync,4,5838,5427,1.6216666666666666,0.4591285674194059,0.09382079172234714,13.58094048001824,0.0002722894818006,0.0003214664803115,73.91269387221008,0.9180349561089743,0.7377314331354003,True,True,-0.029466596893200636,0.06553513519205467,17.0
80,80,0.1,async,0,993,481,0.2758333333333333,0.9746322098776806,0.12996759377595873,169.4446196354408,0.0029209666012752,0.021961209031006,462.4633784563093,0.4813199738482741,0.15986363118809888,True,True,0.1409027284739814,0.043385942671709254,
80,80,0.1,async,1,980,481,0.2722222222222222,0.975013818409386,0.13928944993169362,171.60032386366203,0.003117602815973,0.0248039485923343,502.980886342309,0.5074242000230431,0.13030511938467515,True,True,0.1417621246273612,0.047097909686410255,
80,80,0.1,async,2,990,481,0.275,0.9774941955493216,0.13538582531941667,170.52808989491126,0.0022850527558239,0.0223695877844631,433.21594591269036,0.5119510510629978,0.14527581011368584,True,True,0.15562041392762832,0.05210198312766856,
80,80,0.1,sync,0,466,481,0.12944444444444445,0.4844163723069137,0.22905754904414993,173.38155191190253,0.0503561505065504,0.0503561505065504,100.0,0.5169285187846515,0.06245616980770774,True,True,0.13271251278437274,0.08456007107405783,1.0
80,80,0.1,sync,1,530,481,0.14722222222222223,0.5407410023392745,0.23850652644654455,174.90812871231222,0.0405965543513731,0.0474555734713571,65.93934237251777,0.5200039925625433,0.10546959855690108,True,True,0.13730127617487814,-0.09844063619714744,2.0
80,80,0.1,sync,2,449,481,0.12472222222222222,0.4532654201843563,0.23196757463378934,174.2717141828983,0.049493231680876,0.049493231680876,100.0,0.5140550674337495,0.15036561954579875,True,True,0.15491642697312752,0.059025386071149155,1.0
50_rejection,50,,rejection,0,13000,13000,,,0.23728385896262183,15.211535777807235,0.0029427493868617763,,100.0,0.9137139676953041,0.6695368723372742,True,True,-0.02324474229971213,0.0785483555679225,
80_rejection,80,,rejection,0,1000,1000,,,0.2697101295088622,170.36484623169898,0.03296876481474635,,100.0,0.7766399984138415,0.5286210992867708,False,True,0.13576720161917138,0.031604008566077146,
