method,replicate,n,eps
sync,1,919,0.0154878678663346
sync,1,1024,0.0111847629762301
sync,1,1142,0.0093992375563068
sync,1,1274,0.0075710700172497
sync,1,1421,0.0063145755465452
sync,1,1584,0.0048625731404676
sync,1,1766,0.004261480671667
sync,1,1970,0.0028342586031119
sync,1,2197,0.0020960916532443
sync,1,2449,0.001694702045024
sync,1,2731,0.0015244884385469
sync,1,3046,0.0012393636324576
sync,1,3396,0.0009022778656348
sync,1,3787,0.0007369311926811
sync,1,4223,0.00058307590781
sync,1,4710,0.0004745151560409
sync,1,5252,0.0003387166306543
sync,2,200,0.4028685659417592
sync,2,223,0.3550316307305916
sync,2,248,0.2864664193116222
sync,2,277,0.2434060513082455
sync,2,309,0.2199032563283119
sync,2,344,0.1920495569978824
sync,2,384,0.1735070432024828
sync,2,428,0.1549961045651076
sync,2,478,0.1290320926389164
sync,2,533,0.1103723964325164
sync,2,594,0.0626353184988059
sync,2,662,0.0417999143200868
sync,2,739,0.0326762142184874
sync,2,824,0.0234039616481272
sync,2,919,0.0185006811621821
sync,2,1024,0.0136962678726481
sync,2,1142,0.010644017721
sync,2,1274,0.0087043057142322
sync,2,1421,0.0078133040662523
sync,2,1584,0.0061200129885902
sync,2,1766,0.0046667732246124
sync,2,1970,0.0037583918214635
sync,2,2197,0.0031933457507533
sync,2,2449,0.0023467803784303
sync,2,2731,0.0018639488716149
sync,2,3046,0.0012985789568917
sync,2,3396,0.0010495437030989
sync,2,3787,0.0008364512994167
sync,2,4223,0.000764924455521
sync,2,4710,0.0005747294609733
sync,2,5252,0.0003798330751491
sync,3,200,0.4285703124287007
sync,3,223,0.4048669106563422
sync,3,248,0.3265082391372856
sync,3,277,0.264949597509976
sync,3,309,0.2274994598815292
sync,3,344,0.2052071066459909
sync,3,384,0.1662576331074042
sync,3,428,0.1637077350536062
sync,3,478,0.1265630425296703
sync,3,533,0.1166861444797742
sync,3,594,0.0939917850009866
sync,3,662,0.0490883667860098
sync,3,739,0.0336906014645495
sync,3,824,0.0221105720987931
sync,3,919,0.0163303588596624
sync,3,1024,0.014352282357538
sync,3,1142,0.011236577848036
sync,3,1274,0.0079807690449853
sync,3,1421,0.0059288978005134
sync,3,1584,0.0041429385028108
sync,3,1766,0.0031420158513058
sync,3,1970,0.002789896519409
sync,3,2197,0.0021955094203484
sync,3,2449,0.0017342083031963
sync,3,2731,0.0011338018313271
sync,3,3046,0.0010080070370149
sync,3,3396,0.0007936953821712
sync,3,3787,0.0006259154540909
sync,3,4223,0.0004447462055668
sync,3,4710,0.0003614116206287
sync,3,5252,0.0003298168799812
sync,4,200,0.4612397111160383
sync,4,223,0.4012138444533865
sync,4,248,0.359558172010957
sync,4,277,0.3089019278993674
sync,4,309,0.2713933720686897
sync,4,344,0.2357122117018606
sync,4,384,0.1690572300737735
sync,4,428,0.1372090809254705
sync,4,478,0.115888309148588
sync,4,533,0.0595430348594786
sync,4,594,0.0386171131754423
sync,4,662,0.0280581469672766
sync,4,739,0.0244993420060863
sync,4,824,0.0193644271922598
sync,4,919,0.0143130666311979
sync,4,1024,0.0115731968216435
sync,4,1142,0.0095585642259357
sync,4,1274,0.0061437893116426
sync,4,1421,0.0048187543812781
sync,4,1584,0.0040949126910041
sync,4,1766,0.0032100576239759
sync,4,1970,0.0024149724647293
sync,4,2197,0.0018756362249684
sync,4,2449,0.0015970994522186
sync,4,2731,0.0013915145053776
sync,4,3046,0.0010329894797627
sync,4,3396,0.0008751780550266
sync,4,3787,0.0006117879621227
sync,4,4223,0.0005013388149049
sync,4,4710,0.0004039711204053
sync,4,5252,0.000353080716776
rejection,0,200,0.44677765799993446
rejection,0,223,0.420632881177481
rejection,0,248,0.3353556866830157
rejection,0,277,0.29098894669855074
rejection,0,309,0.25555237510238354
rejection,0,344,0.20799888149251805
rejection,0,384,0.16190999018355978
rejection,0,428,0.12384174659761714
rejection,0,478,0.11674712227342696
rejection,0,533,0.09808640379987449
rejection,0,594,0.0881522872354522
rejection,0,662,0.06937124232024126
rejection,0,739,0.055624270685511915
rejection,0,824,0.05498857437219559
rejection,0,919,0.04679751000102337
rejection,0,1024,0.03946803191738786
rejection,0,1142,0.03211141951644054
rejection,0,1274,0.029999620382668093
rejection,0,1421,0.027692635303094078
rejection,0,1584,0.02480733686372412
rejection,0,1766,0.021987205355284808
rejection,0,1970,0.020074907669032943
rejection,0,2197,0.01859471937619832
rejection,0,2449,0.016314259239927856
rejection,0,2731,0.014382364704698553
rejection,0,3046,0.0128614565605096
rejection,0,3396,0.011313892002848262
rejection,0,3787,0.01068059899748293
rejection,0,4223,0.0091393396359829
rejection,0,4710,0.008095967690021518
rejection,0,5252,0.007812442144223665
rejection,0,5856,0.007169554939269984
rejection,0,6530,0.00637289372910761
rejection,0,7282,0.00572072238277024
rejection,0,8120,0.0052196192013819545
rejection,0,9054,0.004613008266888476
rejection,0,10097,0.004075031239348232
rejection,0,11259,0.0038800655372863927
rejection,0,12555,0.0030830466987703535
